Agemos	L	M	S	P3	P5	P10	P25	P50	P75	P90	P95	P97
24	-0.73533951	12.05503983	0.107399495	9.985667562	10.2102741	10.57373483	11.23356786	12.05503983	12.98666951	13.93766409	14.56636479	15.00156359
24.5	-0.75220657	12.13455523	0.107740345	10.04880792	10.27482893	10.64075988	11.30566642	12.13455523	13.07613207	14.03902482	14.67658551	15.1183895
25.5	-0.78423366	12.2910249	0.10847701	10.17173432	10.40066415	10.77166654	11.44696728	12.2910249	13.25293458	14.24016506	14.89587242	15.35122084
26.5	-0.81409582	12.44469258	0.109280828	10.29079033	10.52273569	10.89898512	11.58501268	12.44469258	13.42753123	14.43983825	15.1142761	15.58362686
27.5	-0.841935504	12.59622335	0.110144488	10.40664383	10.64171007	11.02338047	11.72046615	12.59622335	13.60059358	14.63872906	15.33249457	15.8163176
28.5	-0.867889398	12.74620911	0.111060815	10.51990171	10.7581918	11.14545358	11.8539236	12.74620911	13.77271274	14.83743315	15.55113065	16.0499034
29.5	-0.892102647	12.89517218	0.112022759	10.63111516	10.8727282	11.26574591	11.98591692	12.89517218	13.94440383	15.03646393	15.770701	16.28490586
30.5	-0.914718817	13.04357164	0.113023467	10.74078194	10.98581228	11.38474303	12.11691911	13.04357164	14.11611337	15.23626013	15.99164336	16.52176469
31.5	-0.935876584	13.19180874	0.114056328	10.84934933	11.09788597	11.50287836	12.24734867	13.19180874	14.28822545	15.43719269	16.21432377	16.76084508
32.5	-0.955723447	13.34022934	0.115114953	10.95721927	11.2093447	11.62053698	12.37757256	13.34022934	14.46106492	15.63957012	16.43904429	17.00244749
33.5	-0.974383363	13.48913319	0.116193327	11.0647471	11.32053778	11.7380584	12.50791249	13.48913319	14.6349076	15.8436466	16.66604785	17.24680927
34.5	-0.991980756	13.63877446	0.11728575	11.17224778	11.43177357	11.85574032	12.63864672	13.63877446	14.80998135	16.04962601	16.89552564	17.49411514
35.5	-1.008640742	13.78936547	0.118386848	11.27999893	11.54332263	11.9738418	12.77001339	13.78936547	14.98647034	16.25766706	17.12762297	17.74450372
36.5	-1.024471278	13.94108332	0.119491669	11.38824099	11.65541879	12.0925858	12.90221529	13.94108332	15.16452247	16.46788956	17.3624437	17.9980699
37.5	-1.039573604	14.09407175	0.120595658	11.49718137	11.76826286	12.21216229	13.03542218	14.09407175	15.34425164	16.68037834	17.60005585	18.25487219
